,s,t,c,o,h,l,v,symbol
0,ok,2018-08-04 00:00:00+00:00,417.98,417.4,418.24,414.75,0,.BETH
1,ok,2018-08-04 01:00:00+00:00,418.47,417.98,418.57,417.0,0,.BETH
2,ok,2018-08-04 02:00:00+00:00,418.67,418.47,419.08,418.2,0,.BETH
3,ok,2018-08-04 03:00:00+00:00,418.23,418.67,418.83,417.85,0,.BETH
4,ok,2018-08-04 04:00:00+00:00,417.78,418.23,418.34,416.86,0,.BETH
5,ok,2018-08-04 05:00:00+00:00,416.86,417.78,417.84,416.63,0,.BETH
6,ok,2018-08-04 06:00:00+00:00,415.91,416.86,416.85,415.58,0,.BETH
7,ok,2018-08-04 07:00:00+00:00,417.09,415.91,417.15,415.88,0,.BETH
8,ok,2018-08-04 08:00:00+00:00,417.33,417.09,418.17,416.94,0,.BETH
9,ok,2018-08-04 09:00:00+00:00,416.12,417.33,417.6,415.73,0,.BETH
10,ok,2018-08-04 10:00:00+00:00,414.48,416.12,416.12,412.55,0,.BETH
11,ok,2018-08-04 11:00:00+00:00,414.43,414.48,414.79,413.43,0,.BETH
12,ok,2018-08-04 12:00:00+00:00,408.07,414.43,414.41,406.55,0,.BETH
13,ok,2018-08-04 13:00:00+00:00,410.15,408.07,411.74,408.41,0,.BETH
14,ok,2018-08-04 14:00:00+00:00,405.53,410.15,410.05,401.51,0,.BETH
15,ok,2018-08-04 15:00:00+00:00,403.68,405.53,406.37,401.46,0,.BETH
16,ok,2018-08-04 16:00:00+00:00,405.24,403.68,406.43,402.74,0,.BETH
17,ok,2018-08-04 17:00:00+00:00,407.84,405.24,408.56,402.92,0,.BETH
18,ok,2018-08-04 18:00:00+00:00,407.21,407.84,408.93,406.82,0,.BETH
19,ok,2018-08-04 19:00:00+00:00,405.88,407.21,407.27,405.47,0,.BETH
20,ok,2018-08-04 20:00:00+00:00,404.22,405.88,405.9,404.08,0,.BETH
21,ok,2018-08-04 21:00:00+00:00,405.3,404.22,406.95,403.92,0,.BETH
22,ok,2018-08-04 22:00:00+00:00,406.04,405.3,406.14,404.95,0,.BETH
23,ok,2018-08-04 23:00:00+00:00,406.69,406.04,406.69,405.94,0,.BETH
24,ok,2018-08-05 00:00:00+00:00,401.25,406.69,408.89,400.37,0,.BETH
25,ok,2018-08-05 01:00:00+00:00,402.03,401.25,404.64,400.83,0,.BETH
26,ok,2018-08-05 02:00:00+00:00,404.78,402.03,405.45,402.02,0,.BETH
27,ok,2018-08-05 03:00:00+00:00,408.74,404.78,408.74,404.77,0,.BETH
28,ok,2018-08-05 04:00:00+00:00,406.62,408.74,408.59,406.22,0,.BETH
29,ok,2018-08-05 05:00:00+00:00,406.86,406.62,407.1,405.3,0,.BETH
30,ok,2018-08-05 06:00:00+00:00,405.37,406.86,407.19,404.44,0,.BETH
31,ok,2018-08-05 07:00:00+00:00,403.23,405.37,405.54,402.24,0,.BETH
32,ok,2018-08-05 08:00:00+00:00,405.19,403.23,405.89,403.01,0,.BETH
33,ok,2018-08-05 09:00:00+00:00,408.1,405.19,408.34,405.15,0,.BETH
34,ok,2018-08-05 10:00:00+00:00,406.94,408.1,408.4,406.4,0,.BETH
35,ok,2018-08-05 11:00:00+00:00,406.68,406.94,406.86,405.94,0,.BETH
36,ok,2018-08-05 12:00:00+00:00,408.17,406.68,408.17,406.59,0,.BETH
37,ok,2018-08-05 13:00:00+00:00,405.53,408.17,408.25,404.77,0,.BETH
38,ok,2018-08-05 14:00:00+00:00,403.96,405.53,405.58,403.35,0,.BETH
39,ok,2018-08-05 15:00:00+00:00,405.89,403.96,406.55,403.46,0,.BETH
40,ok,2018-08-05 16:00:00+00:00,405.17,405.89,405.96,404.56,0,.BETH
41,ok,2018-08-05 17:00:00+00:00,404.74,405.17,405.57,403.63,0,.BETH
42,ok,2018-08-05 18:00:00+00:00,405.11,404.74,405.24,404.32,0,.BETH
43,ok,2018-08-05 19:00:00+00:00,406.25,405.11,406.36,405.02,0,.BETH
44,ok,2018-08-05 20:00:00+00:00,411.09,406.25,411.68,406.25,0,.BETH
45,ok,2018-08-05 21:00:00+00:00,412.75,411.09,413.03,411.73,0,.BETH
46,ok,2018-08-05 22:00:00+00:00,409.87,412.75,412.76,409.78,0,.BETH
47,ok,2018-08-05 23:00:00+00:00,408.87,409.87,410.06,408.21,0,.BETH
48,ok,2018-08-06 00:00:00+00:00,409.33,408.87,410.69,408.66,0,.BETH
49,ok,2018-08-06 01:00:00+00:00,412.04,409.33,412.53,409.37,0,.BETH
50,ok,2018-08-06 02:00:00+00:00,411.59,412.04,413.05,411.14,0,.BETH
51,ok,2018-08-06 03:00:00+00:00,410.71,411.59,412.09,410.52,0,.BETH
52,ok,2018-08-06 04:00:00+00:00,410.21,410.71,412.36,410.21,0,.BETH
53,ok,2018-08-06 05:00:00+00:00,410.97,410.21,411.33,410.07,0,.BETH
54,ok,2018-08-06 06:00:00+00:00,409.29,410.97,411.18,409.11,0,.BETH
55,ok,2018-08-06 07:00:00+00:00,408.94,409.29,410.99,407.19,0,.BETH
56,ok,2018-08-06 08:00:00+00:00,407.55,408.94,408.91,406.55,0,.BETH
