,s,t,c,o,h,l,v,symbol
0,ok,2018-09-25 06:00:00+00:00,0.03299,0.03313,0.03314,0.03295,0,.BETHXBT
1,ok,2018-09-25 07:00:00+00:00,0.03277,0.03299,0.03317,0.03269,0,.BETHXBT
2,ok,2018-09-25 08:00:00+00:00,0.03309,0.03277,0.03317,0.03272,0,.BETHXBT
3,ok,2018-09-25 09:00:00+00:00,0.03295,0.03309,0.03318,0.03291,0,.BETHXBT
4,ok,2018-09-25 10:00:00+00:00,0.03287,0.03295,0.03302,0.03281,0,.BETHXBT
5,ok,2018-09-25 11:00:00+00:00,0.03231,0.03287,0.03291,0.03203,0,.BETHXBT
6,ok,2018-09-25 12:00:00+00:00,0.03282,0.03231,0.03287,0.03233,0,.BETHXBT
7,ok,2018-09-25 13:00:00+00:00,0.0327,0.03282,0.03288,0.03267,0,.BETHXBT
8,ok,2018-09-25 14:00:00+00:00,0.03275,0.0327,0.03279,0.03259,0,.BETHXBT
9,ok,2018-09-25 15:00:00+00:00,0.03282,0.03275,0.03282,0.03259,0,.BETHXBT
10,ok,2018-09-25 16:00:00+00:00,0.03299,0.03282,0.03313,0.03287,0,.BETHXBT
11,ok,2018-09-25 17:00:00+00:00,0.03277,0.03299,0.03301,0.03274,0,.BETHXBT
12,ok,2018-09-25 18:00:00+00:00,0.03279,0.03277,0.03297,0.03259,0,.BETHXBT
13,ok,2018-09-25 19:00:00+00:00,0.03297,0.03279,0.03304,0.03276,0,.BETHXBT
14,ok,2018-09-25 20:00:00+00:00,0.03344,0.03297,0.03366,0.03299,0,.BETHXBT
15,ok,2018-09-25 21:00:00+00:00,0.03402,0.03344,0.03407,0.03348,0,.BETHXBT
16,ok,2018-09-25 22:00:00+00:00,0.03357,0.03402,0.03399,0.03357,0,.BETHXBT
17,ok,2018-09-25 23:00:00+00:00,0.03402,0.03357,0.03405,0.03356,0,.BETHXBT
18,ok,2018-09-26 00:00:00+00:00,0.03363,0.03402,0.0341,0.03361,0,.BETHXBT
19,ok,2018-09-26 01:00:00+00:00,0.0329,0.03363,0.03363,0.03276,0,.BETHXBT
20,ok,2018-09-26 02:00:00+00:00,0.03267,0.0329,0.0331,0.03267,0,.BETHXBT
21,ok,2018-09-26 03:00:00+00:00,0.03276,0.03267,0.03288,0.0325,0,.BETHXBT
22,ok,2018-09-26 04:00:00+00:00,0.03303,0.03276,0.03303,0.03268,0,.BETHXBT
23,ok,2018-09-26 05:00:00+00:00,0.03311,0.03303,0.03328,0.03304,0,.BETHXBT
24,ok,2018-09-26 06:00:00+00:00,0.03317,0.03311,0.03323,0.03289,0,.BETHXBT
25,ok,2018-09-26 07:00:00+00:00,0.03316,0.03317,0.0333,0.03314,0,.BETHXBT
26,ok,2018-09-26 08:00:00+00:00,0.03289,0.03316,0.0332,0.03289,0,.BETHXBT
27,ok,2018-09-26 09:00:00+00:00,0.03302,0.03289,0.03303,0.03279,0,.BETHXBT
28,ok,2018-09-26 10:00:00+00:00,0.03303,0.03302,0.03308,0.03294,0,.BETHXBT
29,ok,2018-09-26 11:00:00+00:00,0.03324,0.03303,0.03324,0.03302,0,.BETHXBT
30,ok,2018-09-26 12:00:00+00:00,0.03307,0.03324,0.03333,0.03307,0,.BETHXBT
31,ok,2018-09-26 13:00:00+00:00,0.03285,0.03307,0.03306,0.03279,0,.BETHXBT
32,ok,2018-09-26 14:00:00+00:00,0.0334,0.03285,0.03349,0.03284,0,.BETHXBT
33,ok,2018-09-26 15:00:00+00:00,0.03364,0.0334,0.034,0.03345,0,.BETHXBT
34,ok,2018-09-26 16:00:00+00:00,0.03372,0.03364,0.03378,0.03349,0,.BETHXBT
35,ok,2018-09-26 17:00:00+00:00,0.03383,0.03372,0.03388,0.03359,0,.BETHXBT
36,ok,2018-09-26 18:00:00+00:00,0.03364,0.03383,0.03383,0.03364,0,.BETHXBT
37,ok,2018-09-26 19:00:00+00:00,0.03346,0.03364,0.03363,0.03336,0,.BETHXBT
38,ok,2018-09-26 20:00:00+00:00,0.03377,0.03346,0.03377,0.03337,0,.BETHXBT
39,ok,2018-09-26 21:00:00+00:00,0.03329,0.03377,0.0338,0.03318,0,.BETHXBT
40,ok,2018-09-26 22:00:00+00:00,0.03334,0.03329,0.03337,0.03309,0,.BETHXBT
41,ok,2018-09-26 23:00:00+00:00,0.03315,0.03334,0.03337,0.03314,0,.BETHXBT
42,ok,2018-09-27 00:00:00+00:00,0.03354,0.03315,0.03355,0.03311,0,.BETHXBT
43,ok,2018-09-27 01:00:00+00:00,0.03342,0.03354,0.03363,0.0334,0,.BETHXBT
44,ok,2018-09-27 02:00:00+00:00,0.03353,0.03342,0.03354,0.03341,0,.BETHXBT
45,ok,2018-09-27 03:00:00+00:00,0.03347,0.03353,0.03354,0.03345,0,.BETHXBT
46,ok,2018-09-27 04:00:00+00:00,0.03331,0.03347,0.0335,0.03331,0,.BETHXBT
47,ok,2018-09-27 05:00:00+00:00,0.03335,0.03331,0.03348,0.03334,0,.BETHXBT
48,ok,2018-09-27 06:00:00+00:00,0.03328,0.03335,0.03334,0.03322,0,.BETHXBT
49,ok,2018-09-27 07:00:00+00:00,0.03301,0.03328,0.03334,0.033,0,.BETHXBT
50,ok,2018-09-27 08:00:00+00:00,0.03291,0.03301,0.03301,0.03267,0,.BETHXBT
51,ok,2018-09-27 09:00:00+00:00,0.03283,0.03291,0.03295,0.03282,0,.BETHXBT
52,ok,2018-09-27 10:00:00+00:00,0.03314,0.03283,0.03319,0.0328,0,.BETHXBT
53,ok,2018-09-27 11:00:00+00:00,0.0333,0.03314,0.03332,0.03309,0,.BETHXBT
54,ok,2018-09-27 12:00:00+00:00,0.03367,0.0333,0.03381,0.03327,0,.BETHXBT
55,ok,2018-09-27 13:00:00+00:00,0.0336,0.03367,0.03377,0.03353,0,.BETHXBT
56,ok,2018-09-27 14:00:00+00:00,0.03358,0.0336,0.03366,0.03344,0,.BETHXBT
57,ok,2018-09-27 15:00:00+00:00,0.03337,0.03358,0.03365,0.03335,0,.BETHXBT
58,ok,2018-09-27 16:00:00+00:00,0.03344,0.03337,0.03352,0.03338,0,.BETHXBT
59,ok,2018-09-27 17:00:00+00:00,0.0336,0.03344,0.03363,0.03346,0,.BETHXBT
60,ok,2018-09-27 18:00:00+00:00,0.03349,0.0336,0.03369,0.03348,0,.BETHXBT
61,ok,2018-09-27 19:00:00+00:00,0.0343,0.03349,0.03431,0.03339,0,.BETHXBT
62,ok,2018-09-27 20:00:00+00:00,0.03411,0.0343,0.0347,0.03409,0,.BETHXBT
63,ok,2018-09-27 21:00:00+00:00,0.03448,0.03411,0.03452,0.03411,0,.BETHXBT
64,ok,2018-09-27 22:00:00+00:00,0.0341,0.03448,0.03448,0.03408,0,.BETHXBT
65,ok,2018-09-27 23:00:00+00:00,0.03427,0.0341,0.03427,0.03413,0,.BETHXBT
66,ok,2018-09-28 00:00:00+00:00,0.03428,0.03427,0.03449,0.03423,0,.BETHXBT
67,ok,2018-09-28 01:00:00+00:00,0.0343,0.03428,0.03433,0.0342,0,.BETHXBT
68,ok,2018-09-28 02:00:00+00:00,0.03424,0.0343,0.0344,0.03422,0,.BETHXBT
69,ok,2018-09-28 03:00:00+00:00,0.03421,0.03424,0.03424,0.03415,0,.BETHXBT
70,ok,2018-09-28 04:00:00+00:00,0.03418,0.03421,0.03426,0.03413,0,.BETHXBT
71,ok,2018-09-28 05:00:00+00:00,0.03419,0.03418,0.0342,0.03408,0,.BETHXBT
72,ok,2018-09-28 06:00:00+00:00,0.0341,0.03419,0.03452,0.03409,0,.BETHXBT
73,ok,2018-09-28 07:00:00+00:00,0.03401,0.0341,0.0342,0.03396,0,.BETHXBT
74,ok,2018-09-28 08:00:00+00:00,0.03376,0.03401,0.034,0.03363,0,.BETHXBT
75,ok,2018-09-28 09:00:00+00:00,0.03365,0.03376,0.03377,0.03347,0,.BETHXBT
