,s,t,c,o,h,l,v,symbol
0,ok,2018-08-04 00:00:00+00:00,7455.68,7415.53,7473.0,7387.63,0,.BXBT
1,ok,2018-08-04 01:00:00+00:00,7469.5,7455.68,7469.5,7435.54,0,.BXBT
2,ok,2018-08-04 02:00:00+00:00,7469.71,7469.5,7487.5,7460.34,0,.BXBT
3,ok,2018-08-04 03:00:00+00:00,7455.66,7469.71,7476.54,7448.77,0,.BXBT
4,ok,2018-08-04 04:00:00+00:00,7465.93,7455.66,7470.74,7441.81,0,.BXBT
5,ok,2018-08-04 05:00:00+00:00,7438.6,7465.93,7466.92,7438.6,0,.BXBT
6,ok,2018-08-04 06:00:00+00:00,7422.47,7438.6,7444.27,7413.06,0,.BXBT
7,ok,2018-08-04 07:00:00+00:00,7448.64,7422.47,7451.07,7422.51,0,.BXBT
8,ok,2018-08-04 08:00:00+00:00,7460.97,7448.64,7477.83,7444.75,0,.BXBT
9,ok,2018-08-04 09:00:00+00:00,7455.81,7460.97,7466.17,7426.25,0,.BXBT
10,ok,2018-08-04 10:00:00+00:00,7404.64,7455.81,7458.39,7380.33,0,.BXBT
11,ok,2018-08-04 11:00:00+00:00,7405.07,7404.64,7419.46,7384.84,0,.BXBT
12,ok,2018-08-04 12:00:00+00:00,7251.07,7405.07,7398.85,7220.87,0,.BXBT
13,ok,2018-08-04 13:00:00+00:00,7253.97,7251.07,7280.83,7236.93,0,.BXBT
14,ok,2018-08-04 14:00:00+00:00,7054.6,7253.97,7242.92,7009.62,0,.BXBT
15,ok,2018-08-04 15:00:00+00:00,6975.0,7054.6,7071.57,6962.69,0,.BXBT
16,ok,2018-08-04 16:00:00+00:00,6983.49,6975.0,7023.97,6962.44,0,.BXBT
17,ok,2018-08-04 17:00:00+00:00,6989.02,6983.49,7000.0,6936.97,0,.BXBT
18,ok,2018-08-04 18:00:00+00:00,6979.77,6989.02,7014.59,6968.91,0,.BXBT
19,ok,2018-08-04 19:00:00+00:00,6994.51,6979.77,7004.47,6960.84,0,.BXBT
20,ok,2018-08-04 20:00:00+00:00,6983.36,6994.51,6999.66,6974.0,0,.BXBT
21,ok,2018-08-04 21:00:00+00:00,6989.37,6983.36,7028.53,6982.18,0,.BXBT
22,ok,2018-08-04 22:00:00+00:00,7008.76,6989.37,7021.61,6994.44,0,.BXBT
23,ok,2018-08-04 23:00:00+00:00,7007.5,7008.76,7019.53,6995.26,0,.BXBT
24,ok,2018-08-05 00:00:00+00:00,6922.48,7007.5,7020.94,6918.42,0,.BXBT
25,ok,2018-08-05 01:00:00+00:00,6925.4,6922.48,6970.68,6892.01,0,.BXBT
26,ok,2018-08-05 02:00:00+00:00,6942.38,6925.4,6963.7,6907.84,0,.BXBT
27,ok,2018-08-05 03:00:00+00:00,7006.5,6942.38,7008.09,6940.12,0,.BXBT
28,ok,2018-08-05 04:00:00+00:00,6980.01,7006.5,7010.64,6970.06,0,.BXBT
29,ok,2018-08-05 05:00:00+00:00,6977.68,6980.01,7000.3,6968.4,0,.BXBT
30,ok,2018-08-05 06:00:00+00:00,6964.79,6977.68,6977.68,6953.56,0,.BXBT
31,ok,2018-08-05 07:00:00+00:00,6937.92,6964.79,6976.06,6936.97,0,.BXBT
32,ok,2018-08-05 08:00:00+00:00,6983.88,6937.92,7005.04,6933.4,0,.BXBT
