t,pnl_xbt_usd,pnl_eth_usd,pnl_eth_xbt,funding_fee_eth_usd,funding_fee_xbt_usd,pnl_roll_over,fee_xbt_usd,fee_eth_xbt,total_xbt,bxbt_price,total_xbt_pnl,total_xbt_pnl_without_ethusd_funding,total_usd_pnl,total_usd_pnl_without_ethusd_funding,ethusd_funding_usd
2018-08-04 00:00:00+00:00,0,-0.375,0,0,0,0,0.375000101,0.38216268,998.8678372,7415.53,-1.132162781,-1.132162781,-8395.587069,-8395.587069,0
2018-08-04 01:00:00+00:00,-3.217590358,-1.37658565,-2.57259,0,0,0,0.376387486,0.384648705,992.0721978,7455.68,-7.927802198,-7.927802198,-59107.15629,-59107.15629,0
2018-08-04 02:00:00+00:00,-3.818513163,-0.89777325,-2.39401,0,0,0,0.377195835,0.38507748,992.1274303,7469.5,-7.872569728,-7.872569728,-58804.15958,-58804.15958,0
2018-08-04 03:00:00+00:00,-3.584487786,-1.49628875,-2.84096,0,0,0,0.377817376,0.38524884,991.3151972,7469.71,-8.684802752,-8.684802752,-64872.95797,-64872.95797,0
2018-08-04 04:00:00+00:00,-2.909795746,-0.3591093,-2.839688735,-0.155611636,-0.049964317,0,0.378162269,0.38576292,993.333057,7455.66,-6.666943017,-6.822554653,-49706.46038,-50866.64783,1160.18745
2018-08-04 05:00:00+00:00,-3.512299735,-0.65836705,-3.638944939,-0.155611636,-0.049964317,0,0.378391585,0.386233417,991.6313392,7465.93,-8.368660773,-8.524272409,-62479.83553,-63641.62111,1161.785581
2018-08-04 06:00:00+00:00,-1.800369956,0.5985155,-3.906964939,-0.155611636,-0.049964317,0,0.378737948,0.387515918,994.3305027,7438.6,-5.669497308,-5.825108944,-42173.12268,-43330.65539,1157.532715
2018-08-04 07:00:00+00:00,-0.313661542,1.49628875,-3.270565513,-0.155611636,-0.049964317,0,0.379177572,0.388671585,997.3497885,7422.47,-2.65021151,-2.805823146,-19671.11543,-20826.13813,1155.022699
2018-08-04 08:00:00+00:00,-2.132504839,0.4788124,-3.17187803,-0.155611636,-0.049964317,0,0.379778136,0.390084315,994.610143,7448.64,-5.389856968,-5.545468604,-40147.10421,-41306.19926,1159.095056
2018-08-04 09:00:00+00:00,-3.005117561,-0.29925775,-3.79557803,-0.155611636,-0.049964317,0,0.379851869,0.390725678,992.3350451,7460.97,-7.664954935,-7.820566571,-57187.99882,-58349.01257,1161.013747
2018-08-04 10:00:00+00:00,-2.837510848,1.61599185,-4.77732803,-0.155611636,-0.049964317,0,0.381154344,0.390853702,993.4347209,7455.81,-6.565279122,-6.720890758,-48949.47373,-50109.68452,1160.210791
2018-08-04 11:00:00+00:00,0.925557918,2.93272595,-4.329622206,-0.155611636,-0.049964317,0,0.382978249,0.393672727,998.9575866,7404.64,-1.042413361,-1.198024997,-7718.695673,-8870.943817,1152.248144
2018-08-04 12:00:00+00:00,0.819150274,3.7107961,-4.651834066,-0.595323737,-0.100335991,0,0.383638699,0.39371541,999.7964179,7405.07,-0.203582074,-0.798905811,-1507.539511,-5915.953453,4408.413942
2018-08-04 13:00:00+00:00,11.38347509,12.0900131,-2.437584066,-0.595323737,-0.100335991,0,0.385077333,0.40151775,1020.944969,7251.07,20.94496877,20.34964503,151873.4347,147556.7006,4316.734086
2018-08-04 14:00:00+00:00,10.98778481,8.91788095,-0.912744837,-0.595323737,-0.100335991,0,0.387249825,0.401775735,1018.899555,7253.97,18.89955509,18.30423135,137096.8056,132778.3451,4318.460525
2018-08-04 15:00:00+00:00,26.51661989,15.9205123,4.816715163,-0.595323737,-0.100335991,0,0.393202717,0.412953308,1047.143351,7054.6,47.14335106,46.54802732,332577.4844,328377.7136,4199.770832
2018-08-04 16:00:00+00:00,30.89592059,14.6037782,10.40243687,-0.595323737,-0.100335991,0,0.397721326,0.416385503,1055.783689,6975,55.78368856,55.18836482,389091.2277,384938.8446,4152.383062
2018-08-04 17:00:00+00:00,30.13268658,14.6037782,12.72645801,-0.595323737,-0.100335991,0,0.398016898,0.416695043,1057.343871,6983.49,57.34387058,56.74854684,400460.3467,396302.9094,4157.437361
